DATE;AMOUNT;COUNT
13/02/2015;10912;57
14/02/2015;11584;66
15/02/2015;10088;61
16/02/2015;9560;44
17/02/2015;10368;49
18/02/2015;7032;35
19/02/2015;2496;14
20/02/2015;10984;55
21/02/2015;14040;77
22/02/2015;10080;59
23/02/2015;7424;47
24/02/2015;12128;58
25/02/2015;6128;31
26/02/2015;16104;81
27/02/2015;12904;65
28/02/2015;11432;59
01/03/2015;16480;97
02/03/2015;19968;97
03/03/2015;15824;81
04/03/2015;22288;101
05/03/2015;10312;56
06/03/2015;8968;40
07/03/2015;2760;10
08/03/2015;0;0
09/03/2015;5808;37
10/03/2015;9640;56
11/03/2015;9760;50
12/03/2015;13088;67
13/03/2015;11816;55
14/03/2015;2584;15
15/03/2015;5816;32
16/03/2015;8680;51
17/03/2015;11992;65
18/03/2015;5544;27
19/03/2015;12048;62
20/03/2015;11352;61
21/03/2015;6656;42
22/03/2015;7632;57
23/03/2015;13696;74
24/03/2015;9944;52
25/03/2015;12824;73
26/03/2015;10216;65
27/03/2015;6296;41
28/03/2015;0;0
29/03/2015;0;0
30/03/2015;0;0
31/03/2015;0;0
01/04/2015;7040;38
02/04/2015;17776;85
03/04/2015;13824;71
04/04/2015;15872;89
05/04/2015;18536;112
06/04/2015;11552;64
07/04/2015;12656;64
08/04/2015;10168;55
09/04/2015;8744;56
10/04/2015;13728;70
11/04/2015;12856;77
12/04/2015;10144;70
13/04/2015;10272;65
14/04/2015;9120;65
15/04/2015;10752;65
16/04/2015;10632;62
17/04/2015;13968;72
18/04/2015;17944;92
19/04/2015;9560;64
20/04/2015;10912;56
21/04/2015;10544;55
22/04/2015;9352;59
23/04/2015;11064;63
24/04/2015;13048;77
25/04/2015;13776;76
26/04/2015;12792;85
27/04/2015;14072;76
28/04/2015;12376;71
29/04/2015;13304;69
30/04/2015;12424;63
01/05/2015;17168;92
02/05/2015;15568;87
03/05/2015;6816;40
04/05/2015;11000;52
05/05/2015;9800;52
06/05/2015;14016;70
07/05/2015;7752;47
08/05/2015;12800;65
09/05/2015;11824;66
10/05/2015;4120;25
11/05/2015;11688;65
12/05/2015;11024;52
13/05/2015;9032;54
14/05/2015;11880;61
15/05/2015;8800;47
16/05/2015;0;0
17/05/2015;0;0
18/05/2015;9008;45
19/05/2015;16424;74
20/05/2015;15704;80
21/05/2015;13688;66
22/05/2015;12912;68
23/05/2015;11864;72
24/05/2015;12112;77
25/05/2015;15960;79
26/05/2015;17712;85
27/05/2015;10704;63
28/05/2015;13720;68
29/05/2015;16688;80
30/05/2015;17816;98
31/05/2015;16888;100
01/06/2015;15528;73
02/06/2015;11608;56
03/06/2015;11432;61
04/06/2015;9664;49
05/06/2015;13736;70
06/06/2015;12976;65
07/06/2015;8032;52
08/06/2015;9752;47
09/06/2015;13424;66
10/06/2015;11160;51
11/06/2015;11856;64
12/06/2015;10216;53
13/06/2015;12320;70
14/06/2015;8688;56
15/06/2015;12136;62
16/06/2015;10040;57
17/06/2015;12632;65
18/06/2015;11008;51
19/06/2015;9200;47
20/06/2015;12984;64
21/06/2015;9120;52
22/06/2015;9888;53
23/06/2015;14616;77
24/06/2015;13608;73
25/06/2015;12824;71
26/06/2015;13520;68
27/06/2015;6440;35
28/06/2015;11808;73
29/06/2015;12864;68
30/06/2015;14536;74
01/07/2015;14192;79
02/07/2015;19288;93
