date;a_withdr
06/11/2015;300
07/11/2015;300
08/11/2015;1820
09/11/2015;350
10/11/2015;230
11/11/2015;1050
12/11/2015;300
13/11/2015;0
14/11/2015;600
15/11/2015;80
16/11/2015;50
17/11/2015;0
18/11/2015;1620
19/11/2015;580
20/11/2015;0
21/11/2015;890
22/11/2015;660
23/11/2015;370
24/11/2015;0
25/11/2015;700
26/11/2015;970
27/11/2015;190
28/11/2015;1640
29/11/2015;950
30/11/2015;860
01/12/2015;580
02/12/2015;2120
03/12/2015;940
04/12/2015;2440
05/12/2015;1050
06/12/2015;1130
07/12/2015;610
08/12/2015;1110
09/12/2015;610
10/12/2015;270
11/12/2015;1480
12/12/2015;2210
13/12/2015;2390
14/12/2015;270
15/12/2015;620
16/12/2015;2580
17/12/2015;1530
18/12/2015;660
19/12/2015;450
20/12/2015;880
21/12/2015;1780
22/12/2015;1050
23/12/2015;1230
24/12/2015;120
25/12/2015;420
26/12/2015;880
27/12/2015;20
28/12/2015;470
29/12/2015;1080
30/12/2015;660
31/12/2015;230
01/01/2016;1240
02/01/2016;1240
03/01/2016;840
04/01/2016;1130
05/01/2016;30
06/01/2016;980
07/01/2016;610
08/01/2016;200
09/01/2016;480
10/01/2016;1180
11/01/2016;160
12/01/2016;600
13/01/2016;750
14/01/2016;400
15/01/2016;470
16/01/2016;790
17/01/2016;100
18/01/2016;540
19/01/2016;470
20/01/2016;480
21/01/2016;430
22/01/2016;420
23/01/2016;100
24/01/2016;70
25/01/2016;50
26/01/2016;780
27/01/2016;470
28/01/2016;750
29/01/2016;980
30/01/2016;1070
31/01/2016;0
01/02/2016;230
02/02/2016;1220
03/02/2016;420
04/02/2016;1310
05/02/2016;540
06/02/2016;1010
07/02/2016;930
08/02/2016;370
09/02/2016;340
10/02/2016;940
11/02/2016;810
12/02/2016;1840
13/02/2016;850
14/02/2016;1000
15/02/2016;500
16/02/2016;370
17/02/2016;450
18/02/2016;870
19/02/2016;1050
20/02/2016;1430
21/02/2016;950
22/02/2016;1650
23/02/2016;300
24/02/2016;830
25/02/2016;450
26/02/2016;1620
27/02/2016;730
28/02/2016;580
29/02/2016;280
01/03/2016;350
02/03/2016;1100
03/03/2016;0
04/03/2016;1730
05/03/2016;80
06/03/2016;340
07/03/2016;800
08/03/2016;320
09/03/2016;360
10/03/2016;100
11/03/2016;0
12/03/2016;0
13/03/2016;0
14/03/2016;0
15/03/2016;0
16/03/2016;0
17/03/2016;0
18/03/2016;0
19/03/2016;0
20/03/2016;0
21/03/2016;0
22/03/2016;200
23/03/2016;800
24/03/2016;1110
25/03/2016;530
